Year,Make,Model,Type,Seats,Doors
2017,Honda,CITY,1.5 L  LXI Sedan,5,4
2017,Honda,CIVIC,1.5 L CVT RS Sedan,5,4
2017,Honda,CIVIC,2.0 L CVT DX PLUS Sedan,5,4
2017,Honda,CIVIC,2.0 L CVT DX Sedan,5,4
2017,Honda,CIVIC,2.0 L CVT EX Sedan,5,4
2017,Honda,CIVIC,2.0 L CVT LX Sedan,5,4
2017,Honda,PILOT,3.5 L  EX SUV,8,5
2017,Hyundai,ACCENT,1.4 L  GL Hatchback,5,5
2017,Hyundai,ACCENT,1.4 L  GL MID Sedan,5,4
2017,Hyundai,ACCENT,1.4 L  GL Sedan,5,4
2017,Hyundai,ACCENT,1.6 L  GL Hatchback,5,3
2017,Hyundai,ACCENT,1.6 L  GL Sedan,5,4
2017,Hyundai,CRETA,1.6 L  GL SUV,5,5
2017,Hyundai,CRETA,1.6 L  GL TOP SUV,5,5
2017,Hyundai,CRETA,1.6 L  GLS LTH SUV,5,5
2017,Hyundai,CRETA,1.6 L  GLS SUV,5,5
2017,Hyundai,ELANTRA,1.6 L  GL Sedan,5,4
2017,Hyundai,ELANTRA,2.0 L  GL Sedan,5,4
2017,Hyundai,GENESIS,3.8 L  CLASS Sedan,5,4
2017,Hyundai,GENESIS,3.8 L  PLATINUM Sedan,5,4
2017,Hyundai,GENESIS,3.8 L  PRESTIGE Sedan,5,4
2017,Hyundai,GENESIS,3.8 L  ROYAL Sedan,5,4
2017,Hyundai,GENESIS,5.0 L  ROYAL Sedan,5,4
2017,Hyundai,GRAND i10,1.2 L  GL Hatchback,5,5
2017,Hyundai,GRAND i10,1.2 L  GLS Hatchback,5,5
2017,Hyundai,GRAND SANTA FE,3.3 L  GLS TOP SUV,7,5
2017,Hyundai,SANTA FE,2.4 L  GL SUV,7,5
2017,Hyundai,SANTA FE,2.4 L  GLS TOP SUV,7,5
2017,Hyundai,SANTA FE,3.3 L  GLS TOP SUV,7,5
2017,Hyundai,SONATA,2.4 L  GL MID Sedan,5,4
2017,Hyundai,SONATA,2.4 L  GL Sedan,5,4
2017,Hyundai,TUCSON,2.0 L  GL 4x2 SUV,5,5
2017,Hyundai,VELOSTER,1.6 L  GLS Hatchback,4,3
2017,Hyundai,VELOSTER,1.6 L  GLS NAVIGATION Hatchback,4,3
2017,Hyundai,VELOSTER,1.6 L  GLS SR Hatchback,4,3
2017,Infiniti,Q30,1.6 L DCT COMFORT Hatchback,5,5
2017,Infiniti,Q30,2.0 L DCT PREMIUM Hatchback,5,5
2017,Infiniti,Q30,2.0 L DCT SPORT Hatchback,5,5
2017,Infiniti,Q50,2.0 L  PREMIUM LUXURY Sedan,5,4
2017,Infiniti,Q50,2.0 L  PREMIUM Sedan,5,4
2017,Infiniti,Q50,3.0 L  PREMIUM SPORT Sedan,5,4
2017,Infiniti,Q50,3.0 L  RED SPORT Sedan,5,4
2017,Infiniti,Q50,3.0 L  SPORT Sedan,5,4
2017,Infiniti,Q50,3.0 L  SPORT+TECH+LUXURY Sedan,5,4
2017,Infiniti,QX70,3.7 L  ELITE SPORT SUV,5,5
2017,Infiniti,QX70,3.7 L  EXCELLENCE SUV,5,5
2017,Infiniti,QX70,3.7 L  LUXURY SUV,5,5
2017,Infiniti,QX70S,5.0 L  SPORT LUXURY SUV,5,5
2017,Infiniti,QX80,5.6 L  EXCELLENCE SUV,8,5
2017,Infiniti,QX80,5.6 L  LUXURY 8ST SUV,8,5
2017,JAC,S3,1.5 L CVT SUV SUV,5,5
2017,Jaguar,F-PACE,3.0 L  FIRST EDITION SUV,5,5
2017,Jaguar,F-PACE,3.0 L  PORTFOLIO SUV,5,5
2017,Jaguar,F-PACE,3.0 L  PRESTIGE SUV,5,5
2017,Jaguar,F-PACE,3.0 L  PURE S SUV,5,5
2017,Jaguar,F-PACE,3.0 L  PURE SUV,5,5
2017,Jaguar,F-PACE,3.0 L  R-SPORT SUV,5,5
2017,Jaguar,F-PACE,3.0 L  S SUV,5,5
2017,Jaguar,F-TYPE,3.0 L MANUAL STD Coupe,2,2
2017,Jaguar,F-TYPE,3.0 L QUICKSHIFT STD Convertible,2,2
2017,Jaguar,F-TYPE,3.0 L QUICKSHIFT STD Coupe,2,2
2017,Jaguar,F-TYPE,3.0 L Sport Mode BRITISH DESIIGN EDITION Convertible,2,2
2017,Jaguar,F-TYPE,3.0 L Sport Mode BRITISH DESIIGN EDITION Coupe,2,2
2017,Jaguar,F-TYPE,3.0 L Sport Mode S Convertible,2,2
2017,Jaguar,F-TYPE,3.0 L Sport Mode S Coupe,2,2
2017,Jaguar,F-TYPE,5.0 L QUICKSHIFT R AWD Convertible,2,2
2017,Jaguar,F-TYPE,5.0 L QUICKSHIFT R AWD Coupe,2,2
2017,Jaguar,F-TYPE,5.0 L QUICKSHIFT R Convertible,2,2
2017,Jaguar,F-TYPE,5.0 L QUICKSHIFT R Coupe,2,2
2017,Jaguar,F-TYPE,5.0 L QUICKSHIFT SVR Convertible,2,2
2017,Jaguar,F-TYPE,5.0 L QUICKSHIFT SVR Coupe,2,2
2017,Jaguar,XE,2.0 L  PORTFOLIO Sedan,5,4
2017,Jaguar,XE,2.0 L  PRESTIGE Sedan,5,4
2017,Jaguar,XE,2.0 L  PURE Sedan,5,4
2017,Jaguar,XE,2.0 L  R-SPORT Sedan,5,4
2017,Jaguar,XE,3.0 L  S Sedan,5,4
2017,Jaguar,XF,2.0 L  PORTFOLIO Sedan,5,4
2017,Jaguar,XF,2.0 L  PRESTIGE Sedan,5,4
2017,Jaguar,XF,2.0 L  PURE S Sedan,5,4
2017,Jaguar,XF,2.0 L  PURE Sedan,5,4
2017,Jaguar,XF,2.0 L  R-SPORT Sedan,5,4
2017,Jaguar,XF,3.0 L  PRESTIGE Sedan,5,4
2017,Jaguar,XF,3.0 L  R-SPORT Sedan,5,4
2017,Jaguar,XF,3.0 L  S Sedan,5,4
2017,Jaguar,XJ,2.0 L  LUXURY LWB Sedan,5,4
2017,Jaguar,XJ,2.0 L  LUXURY Sedan,5,4
2017,Jaguar,XJ,2.0 L  PREMIUM LUXURY LWB Sedan,5,4
2017,Jaguar,XJ,3.0 L  AUTOBIOGRAPHY LWB Sedan,5,4
2017,Jaguar,XJ,3.0 L  LUXURY LWB Sedan,5,4
2017,Jaguar,XJ,3.0 L  LUXURY Sedan,5,4
2017,Jaguar,XJ,3.0 L  PORTFOLIO LWB Sedan,5,4
2017,Jaguar,XJ,3.0 L  PREMIUM LUXURY LWB Sedan,5,4
2017,Jaguar,XJ,3.0 L  R-SPORT LWB Sedan,5,4
2017,Jaguar,XJ,3.0 L  R-SPORT Sedan,5,4
2017,Jaguar,XJ,5.0 L  AUTOBIOGRAPHY LWB Sedan,5,4
2017,Jaguar,XJ,5.0 L  PORTFOLIO LWB Sedan,5,4
2017,Jaguar,XJ,5.0 L  R LWB Sedan,5,4
2017,Jaguar,XJ,5.0 L  R Sedan,5,4
